order_no,booking_time,pickup_time,drop_off_time,driver_id,booking_pickup_latitude,booking_pickup_longitude,booking_destination_latitude,booking_destination_longitude,status,fare,surge_multiplier,customer_id,discount_amt,pickup_s2id_15,dropoff_s2id_15,pickup_s2id_14,dropoff_s2id_14,pickup_s2id_13,dropoff_s2id_13,trip_id,n_order,n_trip,n_cancel,time_period,weekend,wait_time_x,travel_time_x,wait_time_y,travel_time_y
RB-3068739661,2019-11-30 16:20:53,2019-11-30 16:28:00,2019-11-30 16:37:24,700137068.0,1.30365555,103.83293019,1.2908153,103.8391747,1,1460,2.25,113080,2.9,3592211749383700480,3592211820250660864,3592211746162475008,3592211823471886336,3592211741867507712,3592211810586984448,60,1,1,0,day_nonpeak,1,0 days 00:07:07,0 days 00:09:24,0 days 00:07:07,0 days 00:09:24
RB-3064839111,2019-11-29 16:42:30,,2019-11-29 16:45:03,,1.298112291568316,103.83869111537932,1.2940937,103.853722,2,1010,1.5,113140,0.0,3592211803070791680,3592211852462915584,3592211806292017152,3592211849241690112,3592211810586984448,3592211844946722816,61,1,0,1,day_nonpeak,0,,,,
RB-3001944666,2019-11-13 12:10:04,2019-11-13 12:14:48,2019-11-13 12:25:49,700291131.0,1.305916,103.826055,1.303994,103.83197,1,600,1.100000023841858,120170,0.0,3592211738646282240,3592211749383700480,3592211737572540416,3592211746162475008,3592211741867507712,3592211741867507712,62,1,1,0,day_nonpeak,0,0 days 00:04:44,0 days 00:11:01,0 days 00:04:44,0 days 00:11:01
RB-2961265771,2019-11-02 17:23:13,2019-11-02 17:26:12,2019-11-02 17:50:44,700268900.0,1.292812,103.82201,1.370566,103.775805,1,1410,1.100000023841858,120419,0.0,3592211693549125632,3592202375617576960,3592211694622867456,3592202374543835136,3592211707507769344,3592202361658933248,63,1,1,0,pm_peak,1,0 days 00:02:59,0 days 00:24:32,0 days 00:02:59,0 days 00:24:32
RB-2971760310,2019-11-05 16:24:49,,2019-11-05 16:24:58,700287214.0,1.327742,103.895611,1.29922,103.846121,3,1180,1.2000000476837158,120419,0.0,3592209997037043712,3592211953394647040,3592209993815818240,3592211952320905216,3592209989520850944,3592211948025937920,64,1,0,1,day_nonpeak,0,,,,
RB-3004326301,2019-11-13 22:12:45,2019-11-13 22:15:51,2019-11-13 22:28:24,700586367.0,1.29913,103.846399,1.292812,103.82201,1,1200,1.899999976158142,120419,1.2,3592211953394647040,3592211693549125632,3592211952320905216,3592211694622867456,3592211948025937920,3592211707507769344,65,1,1,0,pm_peak,0,0 days 00:03:06,0 days 00:12:33,0 days 00:03:06,0 days 00:12:33
RB-3005112381,2019-11-14 08:27:12,,2019-11-14 08:28:10,700204182.0,1.292812,103.82201,1.279885,103.848753,3,1480,2.5,120419,1.4,3592211693549125632,3592211199627886592,3592211694622867456,3592211196406661120,3592211707507769344,3592211192111693824,66,1,0,1,am_peak,0,,,,
RB-3016315399,2019-11-17 02:37:08,,2019-11-17 02:37:09,,1.291773,103.859188,1.292812,103.82201,2,1140,1.100000023841858,120419,0.0,3592211865347817472,3592211693549125632,3592211866421559296,3592211694622867456,3592211879306461184,3592211707507769344,67,5,0,5,midnight,1,,,,
RB-3016315467,2019-11-17 02:37:16,,2019-11-17 02:37:17,,1.291773,103.859188,1.292812,103.82201,2,1140,1.100000023841858,120419,0.0,3592211865347817472,3592211693549125632,3592211866421559296,3592211694622867456,3592211879306461184,3592211707507769344,67,5,0,5,midnight,1,,,,
RB-3016315491,2019-11-17 02:37:18,,2019-11-17 02:37:19,,1.291773,103.859188,1.292812,103.82201,2,1140,1.100000023841858,120419,0.0,3592211865347817472,3592211693549125632,3592211866421559296,3592211694622867456,3592211879306461184,3592211707507769344,67,5,0,5,midnight,1,,,,
RB-3016315600,2019-11-17 02:37:35,,2019-11-17 02:37:36,,1.291773,103.859188,1.292812,103.82201,2,1140,1.100000023841858,120419,0.0,3592211865347817472,3592211693549125632,3592211866421559296,3592211694622867456,3592211879306461184,3592211707507769344,67,5,0,5,midnight,1,,,,
RB-3016315621,2019-11-17 02:37:38,,2019-11-17 02:37:40,,1.291773,103.859188,1.292812,103.82201,2,1140,1.100000023841858,120419,0.0,3592211865347817472,3592211693549125632,3592211866421559296,3592211694622867456,3592211879306461184,3592211707507769344,67,5,0,5,midnight,1,,,,
RB-3054202444,2019-11-27 00:22:36,,2019-11-27 00:33:08,700692384.0,1.300609,103.862113,1.292812,103.82201,3,1010,1.0,120419,1.0,3592211904002523136,3592211693549125632,3592211900781297664,3592211694622867456,3592211913666199552,3592211707507769344,68,1,0,1,midnight,0,,,,
RB-3062124442,2019-11-28 23:50:59,2019-11-28 23:56:01,2019-11-29 00:06:48,700309609.0,1.279603,103.842426,1.292812,103.82201,1,1130,1.5,120419,1.1,3592211609797263360,3592211693549125632,3592211608723521536,3592211694622867456,3592211604428554240,3592211707507769344,69,1,1,0,pm_peak,0,0 days 00:05:02,0 days 00:10:47,0 days 00:05:02,0 days 00:10:47
RB-2965698851,2019-11-04 04:27:22,,2019-11-04 04:27:36,700213412.0,1.2920000930772697,103.84450681507587,1.3535,103.98758,3,1640,1.0,120714,0.0,3592211824545628160,3592250251618025472,3592211823471886336,3592250254839250944,3592211810586984448,3592250259134218240,70,2,1,1,midnight,0,0 days 00:07:37,0 days 00:21:23,0 days 00:07:37,0 days 00:21:23
RB-2965698983,2019-11-04 04:27:44,2019-11-04 04:34:59,2019-11-04 04:56:22,700130346.0,1.2920000930772697,103.84450681507587,1.3535,103.98758,1,1640,1.0,120714,0.0,3592211824545628160,3592250251618025472,3592211823471886336,3592250254839250944,3592211810586984448,3592250259134218240,70,2,1,1,midnight,0,0 days 00:07:37,0 days 00:21:23,0 days 00:07:37,0 days 00:21:23
